Vardas              Pavarde                  Galutinis(vid.)     Galutinis(med.)     
Povilas             Zukauskas                3.60                -                   
Mantas              Stankevicius             2.24                -                   
Tomas               Zukauskas                4.60                -                   
Lukas               Jonaitis                 6.73                -                   
Mantas              Urbonas                  4.80                -                   
Tomas               Stankevicius             4.68                -                   
Ernestas            Butkus                   5.44                -                   
Lukas               Urbonas                  3.24                -                   
Paulius             Kazlauskas               4.73                -                   
Tomas               Jonaitis                 2.12                -                   
Lukas               Butkus                   7.43                -                   
Paulius             Jonaitis                 4.28                -                   
Lukas               Petraitis                5.74                -                   
Lukas               Butkus                   5.30                -                   
Lukas               Butkus                   7.00                -                   
Mantas              Vaitkus                  4.33                -                   
Jonas               Vaitkus                  5.73                -                   
Mantas              Zukauskas                3.93                -                   
Povilas             Stankevicius             5.44                -                   
Tomas               Balciunas                3.49                -                   
Jonas               Vaitkus                  3.10                -                   
Alanas              Jonaitis                 3.40                -                   
Povilas             Zukauskas                2.53                -                   
Tomas               Stankevicius             3.76                -                   
Ernestas            Urbonas                  5.80                -                   
Danielius           Stankevicius             7.47                -                   
Danielius           Zukauskas                6.64                -                   
Petras              Jonaitis                 4.60                -                   
Petras              Kazlauskas               8.36                -                   
Mantas              Petraitis                8.31                -                   
Alanas              Butkus                   5.00                -                   
Paulius             Butkus                   2.20                -                   
Paulius             Jankauskas               2.47                -                   
Petras              Zukauskas                5.90                -                   
Lukas               Zukauskas                6.20                -                   
Mantas              Petraitis                5.11                -                   
Mantas              Stankevicius             4.73                -                   
Lukas               Balciunas                7.13                -                   
Petras              Kazlauskas               5.14                -                   
Tomas               Balciunas                8.40                -                   
Lukas               Vaitkus                  6.40                -                   
Mantas              Petraitis                5.00                -                   
Lukas               Jankauskas               5.07                -                   
Mantas              Petraitis                4.40                -                   
Petras              Stankevicius             2.07                -                   
Tomas               Zukauskas                5.73                -                   
Povilas             Zukauskas                6.00                -                   
Danielius           Petraitis                7.40                -                   
Alanas              Stankevicius             3.92                -                   
Alanas              Butkus                   5.70                -                   
Danielius           Urbonas                  7.03                -                   
Lukas               Jonaitis                 5.83                -                   
Mantas              Balciunas                8.67                -                   
Paulius             Butkus                   6.49                -                   
Povilas             Stankevicius             7.40                -                   
Danielius           Stankevicius             7.20                -                   
Tomas               Urbonas                  7.76                -                   
Tomas               Kazlauskas               6.67                -                   
Ernestas            Butkus                   5.43                -                   
Paulius             Vaitkus                  6.80                -                   
Danielius           Urbonas                  5.06                -                   
Povilas             Jonaitis                 5.40                -                   
Mantas              Petraitis                6.70                -                   
Jonas               Stankevicius             4.32                -                   
Povilas             Urbonas                  6.60                -                   
Alanas              Butkus                   6.80                -                   
Ernestas            Zukauskas                3.83                -                   
Danielius           Petraitis                3.96                -                   
Alanas              Kazlauskas               4.10                -                   
Povilas             Zukauskas                6.30                -                   
Mantas              Stankevicius             5.32                -                   
Mantas              Urbonas                  4.47                -                   
Petras              Urbonas                  2.66                -                   
Jonas               Butkus                   3.36                -                   
Alanas              Butkus                   6.28                -                   
Paulius             Jankauskas               6.13                -                   
Ernestas            Vaitkus                  3.47                -                   
Mantas              Petraitis                4.93                -                   
Mantas              Balciunas                3.34                -                   
Lukas               Stankevicius             5.60                -                   
Petras              Butkus                   2.47                -                   
Jonas               Kazlauskas               6.60                -                   
Lukas               Zukauskas                7.31                -                   
Alanas              Butkus                   7.80                -                   
Paulius             Urbonas                  5.83                -                   
Alanas              Jankauskas               5.47                -                   
Alanas              Butkus                   8.47                -                   
Mantas              Vaitkus                  6.54                -                   
Petras              Jankauskas               7.00                -                   
Mantas              Balciunas                8.73                -                   
Mantas              Urbonas                  4.97                -                   
Paulius             Balciunas                5.13                -                   
Paulius             Kazlauskas               8.20                -                   
Alanas              Butkus                   5.48                -                   
Povilas             Urbonas                  2.24                -                   
Paulius             Butkus                   7.20                -                   
Mantas              Vaitkus                  3.00                -                   
Paulius             Urbonas                  7.67                -                   
Lukas               Jankauskas               7.76                -                   
Jonas               Balciunas                2.67                -                   
Petras              Jankauskas               3.51                -                   
Alanas              Kazlauskas               3.20                -                   
Danielius           Zukauskas                6.16                -                   
Povilas             Balciunas                3.09                -                   
Lukas               Butkus                   5.40                -                   
Povilas             Urbonas                  4.27                -                   
Paulius             Kazlauskas               5.93                -                   
Paulius             Vaitkus                  5.13                -                   
Jonas               Zukauskas                2.43                -                   
Alanas              Zukauskas                8.67                -                   
Ernestas            Butkus                   1.80                -                   
Ernestas            Vaitkus                  6.54                -                   
Danielius           Butkus                   8.80                -                   
Jonas               Urbonas                  6.52                -                   
Danielius           Urbonas                  7.97                -                   
Ernestas            Vaitkus                  5.40                -                   
Paulius             Butkus                   7.53                -                   
Danielius           Urbonas                  4.32                -                   
Ernestas            Jankauskas               6.06                -                   
Ernestas            Balciunas                5.13                -                   
Alanas              Balciunas                7.76                -                   
Petras              Jankauskas               2.76                -                   
Danielius           Jonaitis                 3.20                -                   
Ernestas            Jonaitis                 6.28                -                   
Petras              Butkus                   6.20                -                   
Tomas               Stankevicius             2.67                -                   
Tomas               Stankevicius             7.80                -                   
Alanas              Zukauskas                5.00                -                   
Tomas               Vaitkus                  4.00                -                   
Petras              Balciunas                1.80                -                   
Povilas             Vaitkus                  7.33                -                   
Danielius           Urbonas                  2.87                -                   
Mantas              Balciunas                4.70                -                   
Alanas              Vaitkus                  5.13                -                   
Jonas               Vaitkus                  4.40                -                   
Povilas             Zukauskas                3.13                -                   
Povilas             Kazlauskas               4.50                -                   
Danielius           Butkus                   4.67                -                   
Petras              Butkus                   7.76                -                   
Ernestas            Zukauskas                5.00                -                   
Paulius             Urbonas                  4.72                -                   
Mantas              Zukauskas                6.53                -                   
Petras              Petraitis                4.33                -                   
Tomas               Stankevicius             3.00                -                   
Alanas              Kazlauskas               7.00                -                   
Mantas              Stankevicius             5.53                -                   
Jonas               Petraitis                6.20                -                   
Danielius           Zukauskas                5.40                -                   
Jonas               Jonaitis                 8.72                -                   
Paulius             Zukauskas                3.77                -                   
Mantas              Balciunas                4.60                -                   
Danielius           Jankauskas               3.53                -                   
Tomas               Zukauskas                6.13                -                   
Paulius             Petraitis                6.44                -                   
Povilas             Petraitis                8.00                -                   
Mantas              Stankevicius             3.20                -                   
Jonas               Zukauskas                7.03                -                   
Ernestas            Urbonas                  4.67                -                   
Mantas              Butkus                   7.28                -                   
Mantas              Jankauskas               6.40                -                   
Tomas               Butkus                   7.90                -                   
Povilas             Vaitkus                  3.33                -                   
Danielius           Urbonas                  7.47                -                   
Jonas               Jankauskas               4.36                -                   
Ernestas            Urbonas                  3.11                -                   
Jonas               Urbonas                  4.72                -                   
Alanas              Balciunas                7.10                -                   
Ernestas            Jankauskas               7.30                -                   
Petras              Stankevicius             6.73                -                   
Ernestas            Kazlauskas               4.00                -                   
Paulius             Urbonas                  4.60                -                   
Jonas               Petraitis                7.33                -                   
Alanas              Vaitkus                  5.50                -                   
Danielius           Butkus                   6.80                -                   
Jonas               Vaitkus                  3.72                -                   
Ernestas            Urbonas                  4.04                -                   
Paulius             Balciunas                6.20                -                   
Paulius             Jankauskas               5.87                -                   
Tomas               Kazlauskas               5.32                -                   
Tomas               Stankevicius             7.20                -                   
Paulius             Butkus                   5.87                -                   
Povilas             Vaitkus                  2.72                -                   
Povilas             Jankauskas               4.33                -                   
Petras              Zukauskas                4.30                -                   
Petras              Kazlauskas               3.30                -                   
Ernestas            Butkus                   6.87                -                   
Povilas             Butkus                   4.49                -                   
Lukas               Jonaitis                 7.47                -                   
Povilas             Balciunas                8.16                -                   
Ernestas            Jankauskas               7.52                -                   
Jonas               Zukauskas                6.27                -                   
Paulius             Urbonas                  5.91                -                   
Mantas              Jonaitis                 4.51                -                   
Ernestas            Jankauskas               7.53                -                   
Lukas               Petraitis                8.40                -                   
Alanas              Butkus                   5.40                -                   
Ernestas            Stankevicius             4.77                -                   
Povilas             Balciunas                3.50                -                   
Tomas               Vaitkus                  2.33                -                   
Jonas               Urbonas                  6.00                -                   
Lukas               Balciunas                5.27                -                   
Ernestas            Jonaitis                 8.27                -                   
Paulius             Kazlauskas               4.70                -                   
Ernestas            Jankauskas               4.23                -                   
Lukas               Urbonas                  2.92                -                   
Povilas             Jonaitis                 2.73                -                   
Mantas              Jonaitis                 1.93                -                   
Jonas               Petraitis                4.33                -                   
Tomas               Butkus                   5.27                -                   
Ernestas            Jankauskas               5.33                -                   
Alanas              Urbonas                  8.10                -                   
Mantas              Jankauskas               7.71                -                   
Danielius           Balciunas                3.20                -                   
Lukas               Stankevicius             4.20                -                   
Danielius           Petraitis                6.40                -                   
Ernestas            Urbonas                  3.03                -                   
Alanas              Stankevicius             4.50                -                   
Petras              Balciunas                5.31                -                   
Mantas              Urbonas                  8.00                -                   
Mantas              Butkus                   5.80                -                   
Petras              Stankevicius             5.36                -                   
Danielius           Stankevicius             3.47                -                   
Tomas               Balciunas                4.60                -                   
Petras              Balciunas                4.00                -                   
Jonas               Butkus                   9.20                -                   
Tomas               Balciunas                5.80                -                   
Povilas             Zukauskas                9.50                -                   
Povilas             Petraitis                4.20                -                   
Ernestas            Kazlauskas               4.50                -                   
Petras              Stankevicius             5.10                -                   
Lukas               Urbonas                  2.14                -                   
Tomas               Zukauskas                7.20                -                   
Alanas              Jonaitis                 5.67                -                   
Povilas             Vaitkus                  5.33                -                   
Danielius           Stankevicius             5.68                -                   
Mantas              Vaitkus                  5.67                -                   
Danielius           Balciunas                4.60                -                   
Tomas               Petraitis                5.00                -                   
Petras              Stankevicius             6.27                -                   
Danielius           Vaitkus                  5.11                -                   
Danielius           Kazlauskas               4.00                -                   
Danielius           Kazlauskas               6.20                -                   
Jonas               Butkus                   6.74                -                   
Ernestas            Vaitkus                  4.33                -                   
Paulius             Butkus                   8.70                -                   
Mantas              Petraitis                2.63                -                   
Tomas               Stankevicius             3.03                -                   
Povilas             Urbonas                  9.40                -                   
Povilas             Zukauskas                4.36                -                   
Povilas             Jankauskas               9.20                -                   
Povilas             Kazlauskas               4.90                -                   
Ernestas            Kazlauskas               3.20                -                   
Ernestas            Jonaitis                 8.32                -                   
Ernestas            Jankauskas               3.33                -                   
Danielius           Vaitkus                  8.13                -                   
Ernestas            Stankevicius             6.27                -                   
Jonas               Petraitis                4.24                -                   
Jonas               Urbonas                  3.24                -                   
Paulius             Stankevicius             4.36                -                   
Danielius           Petraitis                6.47                -                   
Petras              Butkus                   5.04                -                   
Lukas               Stankevicius             6.53                -                   
Povilas             Jankauskas               7.94                -                   
Tomas               Vaitkus                  3.07                -                   
Tomas               Kazlauskas               7.20                -                   
Tomas               Petraitis                1.70                -                   
Lukas               Petraitis                3.36                -                   
Lukas               Zukauskas                3.00                -                   
Mantas              Butkus                   4.10                -                   
Jonas               Urbonas                  3.89                -                   
Lukas               Kazlauskas               4.73                -                   
Tomas               Urbonas                  2.76                -                   
Tomas               Zukauskas                8.60                -                   
Tomas               Vaitkus                  7.31                -                   
Paulius             Stankevicius             8.60                -                   
Mantas              Jonaitis                 5.40                -                   
Povilas             Kazlauskas               3.80                -                   
Ernestas            Jonaitis                 5.29                -                   
Ernestas            Vaitkus                  7.93                -                   
Paulius             Zukauskas                5.60                -                   
Tomas               Zukauskas                8.07                -                   
Lukas               Petraitis                5.73                -                   
Petras              Jonaitis                 5.53                -                   
Tomas               Balciunas                3.74                -                   
Jonas               Vaitkus                  9.20                -                   
Lukas               Butkus                   5.36                -                   
Tomas               Zukauskas                6.20                -                   
Paulius             Stankevicius             7.87                -                   
Povilas             Kazlauskas               3.48                -                   
Alanas              Jonaitis                 7.60                -                   
Povilas             Stankevicius             7.24                -                   
Danielius           Vaitkus                  7.63                -                   
Mantas              Balciunas                4.20                -                   
Danielius           Butkus                   5.60                -                   
Mantas              Petraitis                3.93                -                   
Ernestas            Balciunas                2.20                -                   
Jonas               Butkus                   4.00                -                   
Mantas              Jonaitis                 7.32                -                   
Lukas               Butkus                   8.53                -                   
Tomas               Jonaitis                 2.73                -                   
Paulius             Urbonas                  5.07                -                   
Jonas               Petraitis                4.60                -                   
Mantas              Stankevicius             7.40                -                   
Ernestas            Balciunas                4.80                -                   
Danielius           Jankauskas               3.80                -                   
